quarter,level_1,level_2,value
1999-Q4,Deliveries In Singapore (Forecast For Next Quarter),Chemicals,na
1999-Q4,Deliveries In Singapore (Forecast For Next Quarter),Biomedical Manufacturing,na
1999-Q4,Deliveries In Singapore (Forecast For Next Quarter),Precision Engineering,na
1999-Q4,Deliveries In Singapore (Forecast For Next Quarter),Transport Engineering,na
1999-Q4,Deliveries In Singapore (Forecast For Next Quarter),General Manufacturing Industries,na
1999-Q4,Deliveries Overseas (Forecast For Next Quarter),Electronics,na
1999-Q4,Deliveries Overseas (Forecast For Next Quarter),Chemicals,na
1999-Q4,Deliveries Overseas (Forecast For Next Quarter),Biomedical Manufacturing,na
1999-Q4,Deliveries Overseas (Forecast For Next Quarter),Precision Engineering,na
1999-Q4,Deliveries Overseas (Forecast For Next Quarter),Transport Engineering,na
1999-Q4,Deliveries Overseas (Forecast For Next Quarter),General Manufacturing Industries,na
1999-Q4,Stocks Of Raw Materials (Forecast For Next Quarter),Electronics,na
1999-Q4,Stocks Of Raw Materials (Forecast For Next Quarter),Chemicals,na
1999-Q4,Stocks Of Raw Materials (Forecast For Next Quarter),Biomedical Manufacturing,na
1999-Q4,Stocks Of Raw Materials (Forecast For Next Quarter),Precision Engineering,na
1999-Q4,Stocks Of Raw Materials (Forecast For Next Quarter),Transport Engineering,na
1999-Q4,Stocks Of Raw Materials (Forecast For Next Quarter),General Manufacturing Industries,na
1999-Q4,Stocks Of Finished Goods (Forecast For Next Quarter),Electronics,na
1999-Q4,Stocks Of Finished Goods (Forecast For Next Quarter),Chemicals,na
1999-Q4,Stocks Of Finished Goods (Forecast For Next Quarter),Biomedical Manufacturing,na
1999-Q4,Stocks Of Finished Goods (Forecast For Next Quarter),Precision Engineering,na
1999-Q4,Stocks Of Finished Goods (Forecast For Next Quarter),Transport Engineering,na
1999-Q4,Stocks Of Finished Goods (Forecast For Next Quarter),General Manufacturing Industries,na
1999-Q4,Average Selling Prices (Forecast For Next Quarter),Electronics,na
1999-Q4,Average Selling Prices (Forecast For Next Quarter),Chemicals,na
1999-Q4,Average Selling Prices (Forecast For Next Quarter),Biomedical Manufacturing,na
1999-Q4,Average Selling Prices (Forecast For Next Quarter),Precision Engineering,na
1999-Q4,Average Selling Prices (Forecast For Next Quarter),Transport Engineering,na
1999-Q4,Average Selling Prices (Forecast For Next Quarter),General Manufacturing Industries,na
1999-Q4,Investment On Buildings (Forecast - Next 12 Months),Electronics,na
1999-Q4,Investment On Buildings (Forecast - Next 12 Months),Chemicals,na
1999-Q4,Investment On Buildings (Forecast - Next 12 Months),Biomedical Manufacturing,na
1999-Q4,Investment On Buildings (Forecast - Next 12 Months),Precision Engineering,na
1999-Q4,Investment On Buildings (Forecast - Next 12 Months),Transport Engineering,na
1999-Q4,Investment On Buildings (Forecast - Next 12 Months),General Manufacturing Industries,na
1999-Q4,Investment On Plant & Machinery (Forecast-next 12 Months),Electronics,na
1999-Q4,Investment On Plant & Machinery (Forecast-next 12 Months),Chemicals,na
1999-Q4,Investment On Plant & Machinery (Forecast-next 12 Months),Biomedical Manufacturing,na
1999-Q4,Investment On Plant & Machinery (Forecast-next 12 Months),Precision Engineering,na
1999-Q4,Investment On Plant & Machinery (Forecast-next 12 Months),Transport Engineering,na
1999-Q4,Investment On Plant & Machinery (Forecast-next 12 Months),General Manufacturing Industries,na
2000-Q1,General Business Expectations (Forecast For Next 6 Months),Electronics,na
2000-Q1,General Business Expectations (Forecast For Next 6 Months),Chemicals,18
2000-Q1,General Business Expectations (Forecast For Next 6 Months),Biomedical Manufacturing,na
2000-Q1,General Business Expectations (Forecast For Next 6 Months),Precision Engineering,na
2000-Q1,General Business Expectations (Forecast For Next 6 Months),Transport Engineering,na
2000-Q1,General Business Expectations (Forecast For Next 6 Months),General Manufacturing Industries,na
2000-Q1,Numbers Employed (Forecast For Next Quarter),Electronics,na
2000-Q1,Numbers Employed (Forecast For Next Quarter),Chemicals,na
2000-Q1,Numbers Employed (Forecast For Next Quarter),Biomedical Manufacturing,na
2000-Q1,Numbers Employed (Forecast For Next Quarter),Precision Engineering,na
2000-Q1,Numbers Employed (Forecast For Next Quarter),Transport Engineering,na
2000-Q1,Numbers Employed (Forecast For Next Quarter),General Manufacturing Industries,na
2000-Q1,Overtime (Forecast For Next Quarter),Electronics,na
2000-Q1,Overtime (Forecast For Next Quarter),Chemicals,na
2000-Q1,Overtime (Forecast For Next Quarter),Biomedical Manufacturing,na
2000-Q1,Overtime (Forecast For Next Quarter),Precision Engineering,na
2000-Q1,Overtime (Forecast For Next Quarter),Transport Engineering,na
2000-Q1,Overtime (Forecast For Next Quarter),General Manufacturing Industries,na
2000-Q1,Output (Forecast For Next Quarter),Electronics,na
2000-Q1,Output (Forecast For Next Quarter),Chemicals,na
2000-Q1,Output (Forecast For Next Quarter),Biomedical Manufacturing,na
2000-Q1,Output (Forecast For Next Quarter),Precision Engineering,na
2000-Q1,Output (Forecast For Next Quarter),Transport Engineering,na
2000-Q1,Output (Forecast For Next Quarter),General Manufacturing Industries,na
2000-Q1,Total New Orders Received (Forecast For Next Quarter),Electronics,na
2000-Q1,Total New Orders Received (Forecast For Next Quarter),Chemicals,na
2000-Q1,Total New Orders Received (Forecast For Next Quarter),Biomedical Manufacturing,na
2000-Q1,Total New Orders Received (Forecast For Next Quarter),Precision Engineering,na
2000-Q1,Total New Orders Received (Forecast For Next Quarter),Transport Engineering,na
2000-Q1,Total New Orders Received (Forecast For Next Quarter),General Manufacturing Industries,na
2000-Q1,Domestic Orders (Forecast For Next Quarter),Electronics,na
2000-Q1,Domestic Orders (Forecast For Next Quarter),Chemicals,na
2000-Q1,Domestic Orders (Forecast For Next Quarter),Biomedical Manufacturing,na
2000-Q1,Domestic Orders (Forecast For Next Quarter),Precision Engineering,na
2000-Q1,Domestic Orders (Forecast For Next Quarter),Transport Engineering,na
2000-Q1,Domestic Orders (Forecast For Next Quarter),General Manufacturing Industries,na
2000-Q1,Export Orders (Forecast For Next Quarter),Electronics,na
2000-Q1,Export Orders (Forecast For Next Quarter),Chemicals,na
2000-Q1,Export Orders (Forecast For Next Quarter),Biomedical Manufacturing,na
2000-Q1,Export Orders (Forecast For Next Quarter),Precision Engineering,na
2000-Q1,Export Orders (Forecast For Next Quarter),Transport Engineering,na
2000-Q1,Export Orders (Forecast For Next Quarter),General Manufacturing Industries,na
2000-Q1,Deliveries In Singapore (Forecast For Next Quarter),Electronics,na
2000-Q1,Deliveries In Singapore (Forecast For Next Quarter),Chemicals,na
2000-Q1,Deliveries In Singapore (Forecast For Next Quarter),Biomedical Manufacturing,na
2000-Q1,Deliveries In Singapore (Forecast For Next Quarter),Precision Engineering,na
2000-Q1,Deliveries In Singapore (Forecast For Next Quarter),Transport Engineering,na
2000-Q1,Deliveries In Singapore (Forecast For Next Quarter),General Manufacturing Industries,na
2000-Q1,Deliveries Overseas (Forecast For Next Quarter),Electronics,na
2000-Q1,Deliveries Overseas (Forecast For Next Quarter),Chemicals,na
2000-Q1,Deliveries Overseas (Forecast For Next Quarter),Biomedical Manufacturing,na
2000-Q1,Deliveries Overseas (Forecast For Next Quarter),Precision Engineering,na
2000-Q1,Deliveries Overseas (Forecast For Next Quarter),Transport Engineering,na
2000-Q1,Deliveries Overseas (Forecast For Next Quarter),General Manufacturing Industries,na
2000-Q1,Stocks Of Raw Materials (Forecast For Next Quarter),Electronics,na
2000-Q1,Stocks Of Raw Materials (Forecast For Next Quarter),Chemicals,na
2000-Q1,Stocks Of Raw Materials (Forecast For Next Quarter),Biomedical Manufacturing,na
2000-Q1,Stocks Of Raw Materials (Forecast For Next Quarter),Precision Engineering,na
2000-Q1,Stocks Of Raw Materials (Forecast For Next Quarter),Transport Engineering,na
2000-Q1,Stocks Of Raw Materials (Forecast For Next Quarter),General Manufacturing Industries,na
2000-Q1,Stocks Of Finished Goods (Forecast For Next Quarter),Electronics,na
2000-Q1,Stocks Of Finished Goods (Forecast For Next Quarter),Chemicals,na
2000-Q1,Stocks Of Finished Goods (Forecast For Next Quarter),Biomedical Manufacturing,na
2000-Q1,Stocks Of Finished Goods (Forecast For Next Quarter),Precision Engineering,na
2000-Q1,Stocks Of Finished Goods (Forecast For Next Quarter),Transport Engineering,na
2000-Q1,Stocks Of Finished Goods (Forecast For Next Quarter),General Manufacturing Industries,na
2000-Q1,Average Selling Prices (Forecast For Next Quarter),Electronics,na
2000-Q1,Average Selling Prices (Forecast For Next Quarter),Chemicals,na
2000-Q1,Average Selling Prices (Forecast For Next Quarter),Biomedical Manufacturing,na
2000-Q1,Average Selling Prices (Forecast For Next Quarter),Precision Engineering,na
2000-Q1,Average Selling Prices (Forecast For Next Quarter),Transport Engineering,na
2000-Q1,Average Selling Prices (Forecast For Next Quarter),General Manufacturing Industries,na
2000-Q1,Investment On Buildings (Forecast - Next 12 Months),Electronics,na
2000-Q1,Investment On Buildings (Forecast - Next 12 Months),Chemicals,na
2000-Q1,Investment On Buildings (Forecast - Next 12 Months),Biomedical Manufacturing,na
2000-Q1,Investment On Buildings (Forecast - Next 12 Months),Precision Engineering,na
2000-Q1,Investment On Buildings (Forecast - Next 12 Months),Transport Engineering,na
2000-Q1,Investment On Buildings (Forecast - Next 12 Months),General Manufacturing Industries,na
2000-Q1,Investment On Plant & Machinery (Forecast-next 12 Months),Electronics,na
2000-Q1,Investment On Plant & Machinery (Forecast-next 12 Months),Chemicals,na
2000-Q1,Investment On Plant & Machinery (Forecast-next 12 Months),Biomedical Manufacturing,na
2000-Q1,Investment On Plant & Machinery (Forecast-next 12 Months),Precision Engineering,na
2000-Q1,Investment On Plant & Machinery (Forecast-next 12 Months),Transport Engineering,na
2000-Q1,Investment On Plant & Machinery (Forecast-next 12 Months),General Manufacturing Industries,na
2000-Q2,General Business Expectations (Forecast For Next 6 Months),Electronics,na
2000-Q2,General Business Expectations (Forecast For Next 6 Months),Chemicals,4
2000-Q2,General Business Expectations (Forecast For Next 6 Months),Biomedical Manufacturing,na
2000-Q2,General Business Expectations (Forecast For Next 6 Months),Precision Engineering,na
2000-Q2,General Business Expectations (Forecast For Next 6 Months),Transport Engineering,na
2000-Q2,General Business Expectations (Forecast For Next 6 Months),General Manufacturing Industries,na
2000-Q2,Numbers Employed (Forecast For Next Quarter),Electronics,na
2000-Q2,Numbers Employed (Forecast For Next Quarter),Chemicals,na
2000-Q2,Numbers Employed (Forecast For Next Quarter),Biomedical Manufacturing,na
2000-Q2,Numbers Employed (Forecast For Next Quarter),Precision Engineering,na
2000-Q2,Numbers Employed (Forecast For Next Quarter),Transport Engineering,na
2000-Q2,Numbers Employed (Forecast For Next Quarter),General Manufacturing Industries,na
2000-Q2,Overtime (Forecast For Next Quarter),Electronics,na
2000-Q2,Overtime (Forecast For Next Quarter),Chemicals,na
2000-Q2,Overtime (Forecast For Next Quarter),Biomedical Manufacturing,na
2000-Q2,Overtime (Forecast For Next Quarter),Precision Engineering,na
2000-Q2,Overtime (Forecast For Next Quarter),Transport Engineering,na
2000-Q2,Overtime (Forecast For Next Quarter),General Manufacturing Industries,na
2000-Q2,Output (Forecast For Next Quarter),Electronics,na
2000-Q2,Output (Forecast For Next Quarter),Chemicals,na
2000-Q2,Output (Forecast For Next Quarter),Biomedical Manufacturing,na
2000-Q2,Output (Forecast For Next Quarter),Precision Engineering,na
2000-Q2,Output (Forecast For Next Quarter),Transport Engineering,na
2000-Q2,Output (Forecast For Next Quarter),General Manufacturing Industries,na
2000-Q2,Total New Orders Received (Forecast For Next Quarter),Electronics,na
2000-Q2,Total New Orders Received (Forecast For Next Quarter),Chemicals,na
2000-Q2,Total New Orders Received (Forecast For Next Quarter),Biomedical Manufacturing,na
2000-Q2,Total New Orders Received (Forecast For Next Quarter),Precision Engineering,na
2000-Q2,Total New Orders Received (Forecast For Next Quarter),Transport Engineering,na
2000-Q2,Total New Orders Received (Forecast For Next Quarter),General Manufacturing Industries,na
2000-Q2,Domestic Orders (Forecast For Next Quarter),Electronics,na
2000-Q2,Domestic Orders (Forecast For Next Quarter),Chemicals,na
2000-Q2,Domestic Orders (Forecast For Next Quarter),Biomedical Manufacturing,na
2000-Q2,Domestic Orders (Forecast For Next Quarter),Precision Engineering,na
2000-Q2,Domestic Orders (Forecast For Next Quarter),Transport Engineering,na
2000-Q2,Domestic Orders (Forecast For Next Quarter),General Manufacturing Industries,na
2000-Q2,Export Orders (Forecast For Next Quarter),Electronics,na
2000-Q2,Export Orders (Forecast For Next Quarter),Chemicals,na
2000-Q2,Export Orders (Forecast For Next Quarter),Biomedical Manufacturing,na
2000-Q2,Export Orders (Forecast For Next Quarter),Precision Engineering,na
2000-Q2,Export Orders (Forecast For Next Quarter),Transport Engineering,na
2000-Q2,Export Orders (Forecast For Next Quarter),General Manufacturing Industries,na
2000-Q2,Deliveries In Singapore (Forecast For Next Quarter),Electronics,na
2000-Q2,Deliveries In Singapore (Forecast For Next Quarter),Chemicals,na
2000-Q2,Deliveries In Singapore (Forecast For Next Quarter),Biomedical Manufacturing,na
2000-Q2,Deliveries In Singapore (Forecast For Next Quarter),Precision Engineering,na
2000-Q2,Deliveries In Singapore (Forecast For Next Quarter),Transport Engineering,na
2000-Q2,Deliveries In Singapore (Forecast For Next Quarter),General Manufacturing Industries,na
2000-Q2,Deliveries Overseas (Forecast For Next Quarter),Electronics,na
2000-Q2,Deliveries Overseas (Forecast For Next Quarter),Chemicals,na
2000-Q2,Deliveries Overseas (Forecast For Next Quarter),Biomedical Manufacturing,na
2000-Q2,Deliveries Overseas (Forecast For Next Quarter),Precision Engineering,na
2000-Q2,Deliveries Overseas (Forecast For Next Quarter),Transport Engineering,na
2000-Q2,Deliveries Overseas (Forecast For Next Quarter),General Manufacturing Industries,na
2000-Q2,Stocks Of Raw Materials (Forecast For Next Quarter),Electronics,na
2000-Q2,Stocks Of Raw Materials (Forecast For Next Quarter),Chemicals,na
2000-Q2,Stocks Of Raw Materials (Forecast For Next Quarter),Biomedical Manufacturing,na
2000-Q2,Stocks Of Raw Materials (Forecast For Next Quarter),Precision Engineering,na
2000-Q2,Stocks Of Raw Materials (Forecast For Next Quarter),Transport Engineering,na
2000-Q2,Stocks Of Raw Materials (Forecast For Next Quarter),General Manufacturing Industries,na
2000-Q2,Stocks Of Finished Goods (Forecast For Next Quarter),Electronics,na
2000-Q2,Stocks Of Finished Goods (Forecast For Next Quarter),Chemicals,na
2000-Q2,Stocks Of Finished Goods (Forecast For Next Quarter),Biomedical Manufacturing,na
2000-Q2,Stocks Of Finished Goods (Forecast For Next Quarter),Precision Engineering,na
2000-Q2,Stocks Of Finished Goods (Forecast For Next Quarter),Transport Engineering,na
2000-Q2,Stocks Of Finished Goods (Forecast For Next Quarter),General Manufacturing Industries,na
2000-Q2,Average Selling Prices (Forecast For Next Quarter),Electronics,na
2000-Q2,Average Selling Prices (Forecast For Next Quarter),Chemicals,na
2000-Q2,Average Selling Prices (Forecast For Next Quarter),Biomedical Manufacturing,na
2000-Q2,Average Selling Prices (Forecast For Next Quarter),Precision Engineering,na
2000-Q2,Average Selling Prices (Forecast For Next Quarter),Transport Engineering,na
